Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Adana,Mediterranean,6.01,2.5,3.79,3.52,1.43,4.17,5.44,7.0,5.0,3.0,3.55,2.1,51.43,18.22,53.65,-55.45,59.73,32.69,55
Adıyaman,Southeastern Anatolia,2.51,1.0,3.04,5.84,2.3,2.08,2.89,7.0,3.0,4.0,1.7,3.72,12.7,28.8,23.82,-50.5,37.48,13.82,77
Afyonkarahisar,Aegean,4.9,4.42,6.57,7.39,2.97,2.5,4.98,7.0,3.0,2.0,3.03,2.74,57.7,53.73,39.96,-40.6,52.3,41.59,33
Aksaray,Central Anatolia,3.85,1.0,5.61,6.13,2.74,0.83,3.82,1.0,5.0,2.0,3.7,5.73,23.08,43.11,21.76,-20.8,37.42,26.92,62
Amasya,Black Sea,3.33,2.8,7.86,9.03,4.71,1.25,3.58,10.0,2.0,2.0,2.84,2.38,32.99,73.98,22.92,-50.5,53.39,33.99,51
Ankara,Central Anatolia,8.7,1.78,6.36,6.81,1.3,10.0,5.49,4.0,3.0,3.0,7.4,2.59,66.69,43.06,91.45,-30.7,81.28,63.81,2
Antalya,Mediterranean,6.28,3.19,5.07,5.84,1.3,4.58,4.51,7.0,4.0,4.0,4.83,1.87,58.87,33.26,50.31,-55.45,69.42,39.91,36
Ardahan,Eastern Anatolia,1.0,1.0,7.54,9.32,3.84,2.08,3.07,7.0,1.0,2.0,2.79,2.01,1.0,70.08,24.98,-30.7,55.44,30.99,58
Artvin,Black Sea,3.22,1.0,8.71,8.74,6.15,2.08,2.8,4.0,2.0,1.0,5.51,4.38,18.2,82.65,23.24,-15.85,57.68,42.3,31
Aydın,Aegean,3.96,2.9,7.0,8.35,2.46,2.92,4.91,10.0,2.0,6.0,3.21,3.5,38.65,57.55,42.21,-70.3,48.58,29.96,60
Ağrı,Eastern Anatolia,1.77,1.46,3.68,4.48,2.09,0.0,1.78,7.0,2.0,2.0,1.0,1.8,10.53,24.76,3.31,-35.65,45.31,12.81,78
Balıkesir,Marmara,6.27,6.25,6.36,8.35,2.51,2.08,4.07,10.0,2.0,2.0,4.23,1.86,82.49,54.99,31.41,-50.5,65.63,46.83,18
Bartın,Black Sea,3.83,1.0,5.71,8.06,4.12,0.83,2.8,10.0,1.0,4.0,2.88,3.86,22.92,57.89,15.21,-55.45,44.15,21.94,66
Batman,Southeastern Anatolia,3.96,1.61,3.57,2.94,1.69,0.83,4.53,7.0,1.0,1.0,1.69,3.54,28.65,15.87,26.33,-25.75,38.57,21.68,67
Bayburt,Black Sea,1.0,1.0,5.61,7.39,8.44,2.5,6.4,4.0,2.0,2.0,2.38,2.64,1.0,73.29,49.09,-20.8,48.77,38.64,38
Bilecik,Marmara,2.25,1.0,6.14,5.84,5.11,0.83,3.89,10.0,1.0,1.0,6.57,2.04,10.68,54.42,22.21,-40.6,79.48,32.34,56
Bingöl,Eastern Anatolia,3.92,1.0,4.96,6.81,3.81,0.83,4.0,10.0,5.0,5.0,2.14,4.0,23.62,47.88,22.92,-80.2,38.51,13.93,75
Bitlis,Eastern Anatolia,1.94,3.04,3.79,5.16,3.22,1.25,4.76,7.0,6.0,3.0,1.57,4.1,24.08,33.09,30.51,-60.4,34.21,16.12,73
Bolu,Black Sea,7.76,1.0,6.14,7.39,4.4,6.67,8.22,10.0,2.0,2.0,5.65,2.13,53.37,58.07,87.59,-50.5,73.01,56.24,4
Burdur,Mediterranean,2.32,5.04,7.64,9.32,5.81,1.25,4.29,10.0,2.0,1.0,3.83,2.22,42.52,79.06,27.49,-45.55,60.76,41.88,32
Bursa,Marmara,6.05,2.2,4.75,4.87,1.13,2.92,3.96,10.0,2.0,3.0,5.96,1.88,49.42,26.93,36.1,-55.45,76.6,34.2,50
Denizli,Aegean,4.78,10.0,7.32,8.06,2.72,4.17,4.89,10.0,2.0,2.0,4.62,1.75,100.0,58.8,50.11,-50.5,68.84,57.67,3
Diyarbakır,Southeastern Anatolia,5.4,2.9,1.54,3.23,1.0,2.08,4.13,7.0,3.0,2.0,1.58,3.37,49.8,5.34,31.79,-40.6,38.96,22.09,65
Düzce,Black Sea,5.88,2.36,4.75,6.42,2.52,3.33,3.02,10.0,1.0,2.0,4.54,2.52,49.34,39.68,32.69,-45.55,63.39,35.69,47
Edirne,Marmara,9.62,5.14,9.04,9.32,4.69,8.33,8.49,4.0,1.0,1.0,3.95,2.25,99.85,80.27,100.0,-10.9,61.34,83.56,1
Elazığ,Eastern Anatolia,2.14,3.48,5.07,6.42,2.68,5.0,10.0,7.0,2.0,3.0,3.1,2.8,29.04,41.76,88.3,-40.6,52.36,43.53,28
Erzincan,Eastern Anatolia,2.99,2.11,6.57,8.06,5.2,4.17,4.69,10.0,4.0,5.0,5.12,2.88,25.01,66.31,48.83,-75.25,64.8,33.22,54
Erzurum,Eastern Anatolia,7.53,3.39,5.93,6.42,3.45,5.0,8.73,7.0,10.0,7.0,2.39,2.24,70.1,48.83,80.14,-100.0,51.4,38.42,39
Eskişehir,Central Anatolia,6.31,2.61,5.18,7.39,2.44,5.0,7.09,7.0,1.0,1.0,5.58,1.97,54.61,45.4,69.59,-25.75,73.58,55.21,5
Gaziantep,Southeastern Anatolia,4.45,1.97,2.82,1.29,1.09,1.67,4.98,4.0,2.0,1.0,4.08,2.11,35.24,2.86,34.62,-15.85,63.07,30.77,59
Giresun,Black Sea,3.19,1.49,7.54,9.32,4.88,2.5,6.64,4.0,5.0,6.0,2.45,2.69,21.76,74.59,50.63,-55.45,48.9,35.91,46
Gümüşhane,Black Sea,2.42,1.0,8.18,9.03,6.57,1.67,3.8,4.0,2.0,3.0,2.47,2.56,12.0,83.43,27.04,-25.75,49.86,37.45,43
Hakkari,Eastern Anatolia,1.0,1.0,1.0,3.9,2.31,2.08,1.47,10.0,2.0,2.0,2.25,5.7,1.0,11.58,14.69,-50.5,28.31,1.98,80
Hatay,Mediterranean,3.85,2.54,2.93,4.19,1.68,2.08,4.02,10.0,3.0,2.0,3.42,2.06,35.01,18.48,31.09,-55.45,59.16,22.84,64
Isparta,Mediterranean,5.0,1.0,8.07,8.74,8.16,7.5,8.58,10.0,3.0,1.0,3.48,3.47,31.99,88.6,95.24,-50.5,50.5,54.8,7
Iğdır,Eastern Anatolia,2.07,1.0,6.04,7.1,3.0,0.42,1.47,7.0,1.0,2.0,2.54,2.51,9.29,50.3,4.02,-30.7,50.63,21.65,68
Kahramanmaraş,Mediterranean,3.1,1.0,3.46,4.19,1.53,1.67,4.04,7.0,5.0,3.0,2.92,2.2,17.27,20.12,28.58,-55.45,55.05,17.15,72
Karabük,Black Sea,7.8,1.0,7.64,8.74,4.28,3.33,4.51,10.0,1.0,4.0,4.03,2.65,53.68,69.91,42.27,-55.45,59.28,43.24,29
Karaman,Central Anatolia,3.15,2.46,7.75,7.77,3.95,1.25,3.11,1.0,1.0,2.0,4.1,2.52,28.96,64.75,19.9,-1.0,60.57,44.12,27
Kars,Eastern Anatolia,1.0,2.11,5.71,6.81,3.84,2.08,4.44,7.0,3.0,2.0,2.04,3.19,9.6,51.26,33.79,-40.6,43.06,25.05,63
Kastamonu,Black Sea,7.85,2.88,6.57,8.06,4.5,1.67,4.67,4.0,3.0,6.0,3.92,3.03,68.63,63.27,32.63,-45.55,56.14,44.6,25
Kayseri,Central Anatolia,5.52,3.38,4.11,4.87,2.02,3.75,5.69,4.0,5.0,4.0,4.44,1.93,54.45,28.02,52.56,-45.55,66.53,39.81,37
Kilis,Southeastern Anatolia,3.46,3.26,4.21,4.19,2.79,4.17,3.18,4.0,1.0,1.0,2.54,4.91,37.56,28.84,39.12,-10.9,35.24,33.26,53
Kocaeli,Marmara,5.94,2.62,4.43,4.48,1.12,2.5,3.4,10.0,2.0,1.0,10.0,2.27,51.82,23.81,29.8,-45.55,100.0,40.78,34
Konya,Central Anatolia,4.71,2.77,4.96,5.84,2.02,3.75,6.6,4.0,1.0,1.0,3.78,1.82,43.45,35.91,58.41,-10.9,63.0,48.3,14
Kütahya,Aegean,4.15,2.77,7.0,8.06,3.78,2.5,5.67,7.0,2.0,1.0,3.85,2.08,39.11,62.01,44.39,-30.7,61.78,44.97,24
Kırklareli,Marmara,5.47,1.91,7.43,7.1,3.38,2.08,4.2,1.0,1.0,2.0,5.97,1.76,42.68,57.98,32.24,-1.0,77.43,53.18,8
Kırıkkale,Central Anatolia,5.02,2.25,6.68,8.35,4.54,5.0,8.02,10.0,3.0,2.0,3.88,1.8,41.82,65.18,75.57,-55.45,63.77,48.55,13
Kırşehir,Central Anatolia,4.51,4.88,8.5,10.0,4.81,2.08,3.53,10.0,1.0,2.0,3.18,2.4,58.25,81.4,27.94,-45.55,55.44,45.19,22
Malatya,Eastern Anatolia,6.63,4.19,6.14,6.81,2.41,4.17,6.87,7.0,2.0,5.0,2.51,2.24,69.32,46.92,62.84,-50.5,52.17,46.01,20
Manisa,Aegean,4.92,1.42,4.21,6.42,2.08,2.92,5.38,10.0,2.0,2.0,5.08,1.87,34.62,35.43,45.23,-50.5,71.02,34.75,49
Mardin,Southeastern Anatolia,2.86,1.14,3.04,3.23,1.57,0.42,1.78,4.0,2.0,1.0,2.61,2.84,16.49,14.31,6.01,-15.85,48.96,18.24,71
Mersin,Mediterranean,4.89,3.52,4.96,5.45,1.49,2.08,3.98,4.0,3.0,3.0,4.38,1.98,50.65,31.92,30.83,-30.7,65.82,37.93,42
Muğla,Aegean,7.07,6.1,6.25,8.06,2.02,2.92,2.91,10.0,2.0,1.0,5.05,1.75,87.53,51.13,29.35,-45.55,71.6,49.35,12
Muş,Eastern Anatolia,2.49,5.5,4.64,4.87,2.63,0.0,2.27,10.0,2.0,2.0,1.58,6.91,47.4,32.96,6.46,-50.5,16.26,13.89,76
Nevşehir,Central Anatolia,7.74,1.0,7.21,8.74,10.0,0.83,4.22,4.0,2.0,2.0,2.76,2.49,53.21,92.84,24.34,-20.8,52.17,51.28,9
Niğde,Central Anatolia,2.81,2.03,6.14,6.81,3.35,0.83,3.71,1.0,2.0,2.0,2.93,2.94,23.0,51.0,21.06,-5.95,50.37,35.67,48
Ordu,Black Sea,3.45,2.66,6.36,8.06,3.66,1.67,4.73,4.0,2.0,3.0,2.18,2.03,32.84,58.72,33.01,-25.75,51.4,38.36,40
Osmaniye,Mediterranean,2.92,1.0,4.21,5.84,2.01,0.42,3.47,10.0,2.0,1.0,3.09,2.63,15.87,32.61,16.88,-45.55,53.39,19.06,69
Rize,Black Sea,7.3,4.35,8.18,8.35,4.37,4.17,5.18,1.0,3.0,9.0,3.26,4.01,75.75,70.95,51.98,-45.55,45.63,50.53,10
Sakarya,Marmara,5.49,1.0,4.86,6.13,1.46,2.08,2.93,10.0,2.0,2.0,4.62,1.79,35.78,34.3,24.08,-50.5,68.58,28.84,61
Samsun,Black Sea,4.82,2.19,5.93,7.77,1.95,4.58,6.67,7.0,2.0,3.0,2.99,2.07,39.81,48.18,64.19,-40.6,56.33,42.79,30
Siirt,Southeastern Anatolia,4.58,1.0,3.68,4.48,2.17,0.42,3.29,10.0,1.0,2.0,1.91,2.16,28.73,25.11,15.72,-45.55,48.83,18.97,70
Sinop,Black Sea,7.8,5.03,6.89,8.35,5.86,1.67,6.02,4.0,2.0,4.0,2.36,8.42,84.89,71.81,41.31,-30.7,11.58,45.55,21
Sivas,Central Anatolia,5.55,2.86,6.25,8.06,5.24,4.17,8.29,4.0,8.0,5.0,3.12,2.52,50.65,65.09,71.97,-65.35,54.28,44.98,23
Tekirdağ,Marmara,5.86,3.74,3.14,3.23,1.61,1.67,4.47,7.0,1.0,1.0,8.53,1.81,59.87,14.92,31.34,-25.75,93.52,44.3,26
Tokat,Black Sea,6.01,1.6,4.75,8.35,3.36,1.67,6.53,10.0,4.0,3.0,1.98,2.54,44.46,51.69,44.59,-65.35,46.85,31.35,57
Trabzon,Black Sea,3.27,1.84,7.11,8.35,2.55,5.83,7.33,1.0,4.0,10.0,2.93,2.2,25.09,58.41,76.47,-55.45,55.12,40.72,35
Tunceli,Eastern Anatolia,2.79,1.0,10.0,9.71,7.89,4.17,2.02,10.0,2.0,4.0,4.28,2.87,14.87,100.0,31.66,-60.4,59.48,37.21,44
Uşak,Aegean,7.72,2.34,6.79,8.74,3.45,1.25,5.4,10.0,1.0,1.0,4.39,2.24,63.44,62.62,34.62,-40.6,64.22,46.9,17
Van,Eastern Anatolia,2.44,2.77,2.93,4.19,1.34,1.25,3.96,7.0,7.0,3.0,1.07,2.7,25.87,17.0,25.36,-65.35,39.98,11.45,79
Yalova,Marmara,10.0,2.53,6.25,6.13,1.87,1.67,3.64,10.0,1.0,2.0,6.44,2.14,82.57,42.11,26.01,-45.55,78.01,46.61,19
Yozgat,Central Anatolia,5.48,1.0,7.64,8.35,4.0,2.08,4.47,4.0,5.0,2.0,2.2,2.64,35.7,67.0,33.98,-35.65,47.61,37.96,41
Zonguldak,Black Sea,7.35,2.3,6.68,8.06,2.26,2.92,6.76,7.0,1.0,4.0,4.15,3.12,60.26,54.03,54.1,-40.6,57.04,47.04,16
Çanakkale,Marmara,3.6,4.63,7.0,8.35,2.99,4.17,5.13,10.0,1.0,1.0,5.45,2.55,49.26,59.84,51.66,-40.6,69.03,48.13,15
Çankırı,Central Anatolia,3.41,2.64,7.0,6.13,8.49,0.83,3.42,10.0,2.0,3.0,4.17,2.44,32.37,74.07,19.19,-55.45,61.53,33.72,52
Çorum,Black Sea,4.91,2.48,7.0,7.39,4.97,2.08,5.29,7.0,4.0,4.0,2.56,2.43,42.75,64.27,39.25,-55.45,51.27,36.32,45
İstanbul,Marmara,9.17,3.43,2.29,1.97,1.26,6.25,4.62,7.0,2.0,1.0,9.09,1.66,83.11,4.25,61.75,-30.7,98.08,54.97,6
İzmir,Aegean,7.17,4.02,4.43,6.42,1.16,6.67,4.24,10.0,2.0,2.0,6.54,1.77,72.19,32.4,62.01,-50.5,81.02,50.12,11
Şanlıurfa,Southeastern Anatolia,2.87,1.77,2.71,1.0,1.06,0.0,2.42,4.0,3.0,1.0,1.02,1.0,21.45,1.0,7.43,-20.8,50.56,15.66,74
Şırnak,Eastern Anatolia,2.86,1.0,2.39,2.94,1.62,0.42,1.0,7.0,2.0,1.0,2.29,10.0,15.41,10.45,1.0,-30.7,1.0,0.0,81
