Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2007,70,16,17,13,7,181,107,5,28,55,23,55,13,20,1,13,12,14,17,15,69,43,68,10,11,23,6,24,38,43,13,3,8,36,20,8,30,7,14,20,21,29,2,44,85,34,25,10,20,24,48,16,54,31,20,11,15,29,19,11,33,72,29,10,33,45,27,24,2,17,47,5,11,34,36,6,18,392,159,57,12
2008,78,9,38,16,18,173,79,7,24,65,21,42,13,29,3,5,5,17,13,15,68,44,63,9,29,31,13,23,36,55,16,4,7,30,18,13,37,7,9,29,22,46,8,48,77,30,17,9,15,30,61,22,95,38,13,14,10,30,13,17,24,46,12,14,22,45,30,17,5,17,59,5,11,15,27,6,17,370,172,69,7
2009,78,22,27,17,8,169,106,5,5,82,21,57,10,19,1,15,9,11,7,14,98,62,56,12,21,32,6,23,34,72,14,3,4,39,16,8,22,10,14,17,20,43,4,46,74,27,15,10,14,29,56,11,74,50,19,19,17,33,15,13,34,48,12,11,30,48,25,19,11,19,43,12,11,37,31,5,27,403,183,45,9
2010,116,19,30,15,15,184,105,7,1,75,24,61,8,19,3,16,12,8,14,14,109,40,83,10,26,18,8,24,46,67,14,4,5,40,17,15,41,4,19,18,13,47,2,39,60,22,13,11,13,27,54,14,72,50,23,11,12,20,14,9,32,46,8,3,15,39,20,25,13,17,47,8,13,42,30,7,22,429,169,46,22
2011,84,24,32,12,11,172,101,12,5,69,24,42,8,29,,4,13,16,8,16,85,57,63,8,17,35,9,32,39,57,8,1,6,34,20,8,34,7,11,15,16,56,3,43,58,24,19,10,8,23,50,17,72,47,22,13,14,24,12,2,24,30,12,6,16,30,26,27,6,21,52,7,8,22,21,2,24,387,149,37,9
2012,85,14,28,12,9,220,102,9,7,73,20,53,3,9,4,11,17,13,9,13,135,59,74,8,28,34,12,21,49,55,12,3,10,44,27,14,54,14,6,15,29,72,4,55,80,25,20,9,7,35,48,34,90,52,30,11,14,22,20,13,24,34,18,8,23,35,29,21,3,30,27,12,21,30,29,5,34,542,217,70,20
2013,103,22,40,15,12,196,100,9,5,62,25,58,13,17,2,10,20,11,13,17,110,60,81,10,14,42,10,25,50,77,14,1,16,46,25,7,32,10,22,18,16,57,8,62,81,32,20,13,7,31,62,38,64,54,24,12,21,26,19,6,30,49,13,11,28,43,14,34,5,11,47,5,13,31,23,8,28,494,212,61,19
2014,121,34,30,5,13,219,112,6,8,68,18,63,2,20,1,14,26,10,14,17,116,66,66,12,33,27,6,27,47,64,15,5,13,42,25,6,33,4,11,14,18,67,4,54,77,21,11,15,17,33,47,19,115,37,22,6,19,31,22,12,14,44,18,16,26,21,25,38,10,18,42,3,6,28,21,2,19,446,213,58,21
2015,97,23,38,11,12,227,105,8,9,66,30,58,12,30,2,13,18,12,13,16,130,50,82,12,26,25,10,33,54,80,14,3,11,42,18,4,32,10,17,27,16,58,2,52,103,20,17,6,9,31,67,29,101,53,25,11,14,24,17,4,22,52,12,9,23,41,20,28,6,19,52,5,14,29,30,2,22,432,203,65,21
2016,111,13,44,12,7,173,88,9,3,80,29,67,9,16,1,13,10,5,11,22,140,63,67,13,32,27,8,32,46,77,10,2,9,43,15,8,39,8,11,11,18,86,10,67,92,22,13,7,7,28,53,22,82,52,24,12,22,21,39,4,21,55,10,14,22,39,21,31,9,17,49,5,10,23,26,7,24,462,230,42,11
2017,101,23,40,13,9,173,109,7,6,60,28,53,12,11,,9,9,13,8,19,120,49,71,13,22,23,10,18,40,80,16,2,10,44,40,9,34,8,13,18,18,65,7,54,87,24,17,14,9,20,67,23,94,47,22,9,14,20,19,11,24,51,13,7,33,32,30,37,7,12,48,7,18,12,31,9,25,504,202,61,21
2018,102,17,29,13,10,200,107,6,4,73,20,57,10,27,3,9,8,16,11,22,118,56,58,15,20,18,6,33,40,52,10,3,8,43,34,11,42,10,15,14,18,81,6,50,97,22,21,9,14,25,71,23,77,76,21,9,16,32,9,10,33,53,9,15,40,55,33,25,6,16,50,9,20,27,19,7,23,553,235,59,18
2019,92,22,40,13,14,229,106,9,2,102,14,64,10,17,,14,14,8,14,17,115,84,92,19,27,35,9,26,67,62,12,4,8,36,19,9,43,11,17,14,23,59,8,83,104,28,23,21,7,24,82,30,91,66,31,14,18,31,26,14,27,75,12,10,30,58,33,13,7,9,66,16,20,31,29,7,28,442,193,58,19
2020,124,23,38,19,20,263,120,5,6,66,28,80,8,27,3,8,14,12,16,13,134,66,101,13,27,26,10,26,59,78,18,2,21,38,28,10,39,6,15,20,19,67,7,84,110,38,21,19,14,44,67,33,121,61,26,16,20,26,24,15,37,76,11,9,33,44,17,22,8,22,42,11,15,26,26,12,19,520,215,60,23
2021,128,23,37,28,14,268,150,3,7,81,25,72,13,28,3,8,19,14,14,17,164,82,107,11,26,45,10,44,54,99,21,2,19,64,28,9,54,15,10,23,22,95,14,103,112,31,20,18,11,30,70,42,120,64,18,14,14,54,20,15,39,74,21,9,34,57,24,17,10,24,49,16,16,37,36,8,26,577,280,82,32
2022,131,40,41,16,11,277,156,6,7,79,18,77,15,33,2,13,14,15,19,19,146,72,111,15,25,26,15,27,58,89,12,1,16,66,30,19,59,20,22,20,19,97,9,92,102,27,16,18,22,37,72,32,142,86,19,14,16,51,29,16,37,83,23,12,33,70,31,30,12,38,52,12,21,41,40,8,39,508,206,66,30